売上日,社員ID,商品分類,商品名,単価,数量,売上金額
2020年7月30日,a047,ボトムス,ハーフパンツ,3000,10,30000
2020年7月30日,a051,アウター,ダウン,18000,8,144000
2020年8月01日,a013,ボトムス,ロングパンツ,7000,9,63000
2020年8月03日,a023,ボトムス,ジーンズ,6000,1,6000
2020年8月04日,a003,トップス,シャツ,4000,7,28000
2020年8月07日,a003,ボトムス,ハーフパンツ,3000,1,3000
2020年8月08日,a023,ボトムス,ロングパンツ,7000,5,35000
2020年8月09日,a023,トップス,シャツ,4000,1,4000
2020年8月11日,a013,ボトムス,ロングパンツ,7000,8,56000
2020年8月13日,a023,ボトムス,ジーンズ,6000,8,48000
2020年8月15日,a023,ボトムス,ロングパンツ,7000,1,7000
2020年8月17日,a036,アウター,ダウン,18000,8,144000
2020年8月20日,a003,ボトムス,ロングパンツ,7000,5,35000
2020年8月21日,a003,アウター,ダウン,18000,3,54000
2020年8月23日,a023,ボトムス,ジーンズ,6000,3,18000
2020年8月24日,a003,ボトムス,ハーフパンツ,3000,9,27000
2020年8月24日,a023,アウター,ジャケット,10000,7,70000
2020年8月24日,a052,トップス,シャツ,4000,8,32000
2020年8月25日,a003,トップス,ニット,8000,1,8000
2020年8月25日,a003,ボトムス,ジーンズ,6000,3,18000
2020年8月25日,a036,アウター,ダウン,18000,10,180000
2020年8月25日,a051,アウター,ジャケット,10000,10,100000
2020年8月25日,a052,トップス,シャツ,4000,5,20000
2020年8月26日,a013,アウター,ダウン,18000,9,162000
2020年8月26日,a023,アウター,ジャケット,10000,4,40000
2020年8月26日,a036,ボトムス,ハーフパンツ,3000,6,18000
2020年8月26日,a051,トップス,シャツ,4000,6,24000
2020年8月27日,a003,ボトムス,ロングパンツ,7000,9,63000
2020年8月28日,a003,アウター,ダウン,18000,4,72000
2020年8月28日,a023,アウター,ジャケット,10000,6,60000
2020年9月01日,a013,ボトムス,ロングパンツ,7000,1,7000
2020年9月01日,a013,ボトムス,ジーンズ,6000,6,36000
2020年9月01日,a023,アウター,ダウン,18000,1,18000
2020年9月01日,a052,ボトムス,ロングパンツ,7000,5,35000
2020年9月05日,a013,ボトムス,ジーンズ,6000,7,42000
2020年9月06日,a013,アウター,ダウン,18000,4,72000
2020年9月10日,a023,アウター,ジャケット,10000,1,10000
2020年9月11日,a013,トップス,シャツ,4000,7,28000
2020年9月11日,a052,トップス,シャツ,4000,2,8000
2020年9月11日,a051,ボトムス,ロングパンツ,7000,4,28000
2020年9月12日,a013,ボトムス,ロングパンツ,7000,6,42000
2020年9月12日,a036,ボトムス,ハーフパンツ,3000,2,6000
2020年9月14日,a036,トップス,ニット,8000,7,56000
2020年9月14日,a047,ボトムス,ロングパンツ,7000,4,28000
2020年9月16日,a003,ボトムス,ロングパンツ,7000,6,42000
2020年9月18日,a047,トップス,シャツ,4000,7,28000
2020年9月21日,a013,ボトムス,ジーンズ,6000,8,48000
2020年9月22日,a003,アウター,ジャケット,10000,9,90000
2020年9月25日,a023,アウター,ダウン,18000,8,144000
2020年9月30日,a023,トップス,シャツ,4000,8,32000
2020年10月02日,a003,アウター,ジャケット,10000,10,100000
2020年10月03日,a003,トップス,シャツ,4000,2,8000
2020年10月12日,a036,ボトムス,ロングパンツ,7000,7,49000
2020年10月14日,a036,トップス,シャツ,4000,6,24000
2020年10月15日,a047,ボトムス,ジーンズ,6000,4,24000
2020年10月15日,a051,ボトムス,ハーフパンツ,3000,3,9000
2020年10月17日,a023,トップス,ニット,8000,8,64000
2020年10月18日,a003,アウター,ダウン,18000,3,54000
2020年10月19日,a013,アウター,ジャケット,10000,8,80000
2020年10月20日,a023,ボトムス,ハーフパンツ,3000,3,9000
2020年10月23日,a013,トップス,ニット,8000,5,40000
2020年10月23日,a047,トップス,ニット,8000,10,80000
2020年10月29日,a036,トップス,シャツ,4000,8,32000
2020年10月30日,a047,ボトムス,ハーフパンツ,3000,3,9000
2020年10月31日,a013,ボトムス,ロングパンツ,7000,1,7000
2020年11月03日,a003,アウター,ジャケット,10000,7,70000
2020年11月03日,a003,トップス,ニット,8000,7,56000
2020年11月03日,a023,ボトムス,ハーフパンツ,3000,8,24000
2020年11月03日,a047,ボトムス,ロングパンツ,7000,9,63000
2020年11月03日,a051,トップス,シャツ,4000,6,24000
2020年11月03日,a051,ボトムス,ハーフパンツ,3000,1,3000
2020年11月04日,a003,アウター,ジャケット,10000,2,20000
2020年11月04日,a013,トップス,ニット,8000,10,80000
2020年11月04日,a023,トップス,ニット,8000,1,8000
2020年11月04日,a051,ボトムス,ハーフパンツ,3000,1,3000
2020年11月08日,a036,ボトムス,ジーンズ,6000,5,30000
2020年11月09日,a036,ボトムス,ジーンズ,6000,8,48000
2020年11月10日,a023,トップス,シャツ,4000,2,8000
2020年11月10日,a036,アウター,ジャケット,10000,1,10000
2020年11月10日,a052,トップス,シャツ,4000,2,8000
2020年11月11日,a036,アウター,ジャケット,10000,7,70000
2020年11月11日,a051,アウター,ジャケット,10000,1,10000
2020年11月12日,a003,アウター,ジャケット,10000,5,50000
2020年11月12日,a013,ボトムス,ロングパンツ,7000,5,35000
2020年11月12日,a013,ボトムス,ジーンズ,6000,8,48000
2020年11月16日,a047,トップス,ニット,8000,8,64000
2020年11月19日,a003,アウター,ダウン,18000,10,180000
2020年11月19日,a047,ボトムス,ロングパンツ,7000,7,49000
2020年11月23日,a023,アウター,ダウン,18000,7,126000
2020年11月24日,a047,ボトムス,ジーンズ,6000,9,54000
2020年11月29日,a003,ボトムス,ハーフパンツ,3000,5,15000
2020年11月29日,a051,アウター,ダウン,18000,3,54000
2020年11月30日,a013,ボトムス,ジーンズ,6000,7,42000
2020年12月01日,a003,ボトムス,ジーンズ,6000,2,12000
2020年12月07日,a003,ボトムス,ジーンズ,6000,6,36000
2020年12月12日,a003,ボトムス,ロングパンツ,7000,7,49000
2020年12月12日,a003,ボトムス,ハーフパンツ,3000,3,9000
2020年12月12日,a023,ボトムス,ジーンズ,6000,4,24000
2020年12月13日,a003,アウター,ジャケット,10000,9,90000
2020年12月13日,a003,トップス,ニット,8000,8,64000
2020年12月17日,a023,アウター,ダウン,18000,7,126000
2020年12月21日,a003,ボトムス,ハーフパンツ,3000,5,15000
2020年12月22日,a013,アウター,ジャケット,10000,6,60000
2020年12月22日,a036,トップス,シャツ,4000,6,24000
2020年12月25日,a023,ボトムス,ジーンズ,6000,8,48000
2020年12月26日,a003,ボトムス,ハーフパンツ,3000,5,15000
2020年12月26日,a013,ボトムス,ハーフパンツ,3000,1,3000
2020年12月26日,a052,アウター,ダウン,18000,4,72000
2020年12月28日,a036,アウター,ダウン,18000,3,54000
2020年12月30日,a003,アウター,ダウン,18000,4,72000
2020年12月30日,a047,ボトムス,ハーフパンツ,3000,3,9000
2020年12月31日,a036,ボトムス,ロングパンツ,7000,10,70000
