売上日,社員ID,商品分類,商品名,単価,数量,売上金額
2020-03-06,a052,アウター,ジャケット,10000,6,60000
2020-03-07,a003,ボトムス,ジーンズ,6000,2,12000
2020-03-10,a013,ボトムス,ロングパンツ,7000,6,42000
2020-03-12,a047,アウター,ジャケット,10000,9,90000
2020-03-13,a013,ボトムス,ジーンズ,6000,1,6000
2020-03-14,a036,アウター,ダウン,18000,1,18000
2020-03-17,a013,ボトムス,ロングパンツ,7000,8,56000
2020-03-18,a013,ボトムス,ハーフパンツ,3000,5,15000
2020-03-22,a013,トップス,シャツ,4000,6,24000
2020-03-26,a036,トップス,シャツ,4000,8,32000
2020-03-27,a023,ボトムス,ハーフパンツ,3000,8,24000
2020-04-03,a003,ボトムス,ロングパンツ,7000,3,21000
2020-04-04,a047,トップス,ニット,8000,8,64000
2020-04-09,a003,ボトムス,ロングパンツ,7000,8,56000
2020-04-09,a023,トップス,ニット,8000,10,80000
2020-04-11,a003,ボトムス,ロングパンツ,7000,3,21000
2020-04-14,a003,ボトムス,ジーンズ,6000,4,24000
2020-04-15,a036,アウター,ジャケット,10000,3,30000
2020-04-18,a003,トップス,ニット,8000,1,8000
2020-04-18,a051,ボトムス,ロングパンツ,7000,5,35000
2020-04-19,a003,トップス,ニット,8000,6,48000
2020-04-20,a036,トップス,ニット,8000,3,24000
2020-04-21,a013,アウター,ジャケット,10000,7,70000
2020-04-24,a023,ボトムス,ジーンズ,6000,4,24000
2020-04-29,a023,ボトムス,ジーンズ,6000,1,6000
2020-05-05,a047,トップス,シャツ,4000,10,40000
2020-05-06,a013,ボトムス,ジーンズ,6000,5,30000
2020-05-12,a003,アウター,ジャケット,10000,6,60000
2020-05-13,a023,トップス,ニット,8000,6,48000
2020-05-14,a036,アウター,ジャケット,10000,10,100000
2020-05-15,a003,ボトムス,ロングパンツ,7000,6,42000
2020-05-20,a036,ボトムス,ロングパンツ,7000,1,7000
2020-05-22,a023,トップス,ニット,8000,10,80000
2020-05-24,a003,トップス,シャツ,4000,7,28000
2020-05-24,a003,ボトムス,ジーンズ,6000,5,30000
2020-05-24,a047,ボトムス,ハーフパンツ,3000,6,18000
2020-05-25,a023,アウター,ダウン,18000,4,72000
2020-06-02,a013,ボトムス,ジーンズ,6000,7,42000
2020-06-02,a051,ボトムス,ジーンズ,6000,8,48000
2020-06-03,a023,トップス,ニット,8000,4,32000
2020-06-03,a047,アウター,ジャケット,10000,6,60000
2020-06-08,a003,ボトムス,ロングパンツ,7000,7,49000
2020-06-10,a023,トップス,シャツ,4000,1,4000
2020-06-11,a023,アウター,ダウン,18000,9,162000
2020-06-13,a036,ボトムス,ロングパンツ,7000,2,14000
2020-06-14,a003,トップス,ニット,8000,8,64000
2020-06-15,a023,ボトムス,ジーンズ,6000,5,30000
2020-06-15,a036,トップス,ニット,8000,2,16000
2020-06-16,a003,トップス,ニット,8000,5,40000
2020-06-16,a047,ボトムス,ロングパンツ,7000,6,42000
2020-06-17,a036,トップス,ニット,8000,5,40000
2020-06-18,a013,ボトムス,ジーンズ,6000,10,60000
2020-06-22,a003,トップス,ニット,8000,8,64000
2020-06-25,a013,ボトムス,ハーフパンツ,3000,2,6000
2020-06-26,a036,ボトムス,ジーンズ,6000,10,60000
2020-06-27,a023,アウター,ジャケット,10000,2,20000
2020-06-27,a052,トップス,シャツ,4000,5,20000
2020-06-30,a003,ボトムス,ハーフパンツ,3000,7,21000
2020-06-30,a052,トップス,ニット,8000,8,64000
2020-07-04,a013,ボトムス,ロングパンツ,7000,5,35000
2020-07-10,a047,アウター,ダウン,18000,7,126000
2020-07-11,a023,ボトムス,ハーフパンツ,3000,4,12000
2020-07-13,a013,ボトムス,ハーフパンツ,3000,10,30000
2020-07-13,a023,ボトムス,ジーンズ,6000,4,24000
2020-07-14,a036,アウター,ダウン,18000,7,126000
2020-07-14,a047,アウター,ジャケット,10000,9,90000
2020-07-16,a003,トップス,ニット,8000,8,64000
2020-07-19,a003,アウター,ジャケット,10000,1,10000
2020-07-21,a003,ボトムス,ハーフパンツ,3000,4,12000
2020-07-22,a003,トップス,ニット,8000,7,56000
2020-07-26,a003,ボトムス,ロングパンツ,7000,8,56000
2020-07-27,a013,アウター,ジャケット,10000,2,20000
2020-07-27,a023,トップス,ニット,8000,6,48000
2020-07-30,a047,ボトムス,ハーフパンツ,3000,10,30000
2020-07-30,a051,アウター,ダウン,18000,8,144000
2020-08-01,a013,ボトムス,ロングパンツ,7000,9,63000
2020-08-03,a023,ボトムス,ジーンズ,6000,1,6000
2020-08-04,a003,トップス,シャツ,4000,7,28000
2020-08-07,a003,ボトムス,ハーフパンツ,3000,1,3000
2020-08-08,a023,ボトムス,ロングパンツ,7000,5,35000
2020-08-09,a023,トップス,シャツ,4000,1,4000
2020-08-11,a013,ボトムス,ロングパンツ,7000,8,56000
2020-08-13,a023,ボトムス,ジーンズ,6000,8,48000
2020-08-15,a023,ボトムス,ロングパンツ,7000,1,7000
2020-08-17,a036,アウター,ダウン,18000,8,144000
2020-08-20,a003,ボトムス,ロングパンツ,7000,5,35000
2020-08-21,a003,アウター,ダウン,18000,3,54000
2020-08-23,a023,ボトムス,ジーンズ,6000,3,18000
2020-08-24,a003,ボトムス,ハーフパンツ,3000,9,27000
2020-08-24,a023,アウター,ジャケット,10000,7,70000
2020-08-24,a052,トップス,シャツ,4000,8,32000
2020-08-25,a003,トップス,ニット,8000,1,8000
2020-08-25,a003,ボトムス,ジーンズ,6000,3,18000
2020-08-25,a036,アウター,ダウン,18000,10,180000
2020-08-25,a051,アウター,ジャケット,10000,10,100000
2020-08-25,a052,トップス,シャツ,4000,5,20000
2020-08-26,a013,アウター,ダウン,18000,9,162000
2020-08-26,a023,アウター,ジャケット,10000,4,40000
2020-08-26,a036,ボトムス,ハーフパンツ,3000,6,18000
2020-08-26,a051,トップス,シャツ,4000,6,24000
2020-08-27,a003,ボトムス,ロングパンツ,7000,9,63000
2020-08-28,a003,アウター,ダウン,18000,4,72000
2020-08-28,a023,アウター,ジャケット,10000,6,60000
2020-09-01,a013,ボトムス,ロングパンツ,7000,1,7000
2020-09-01,a013,ボトムス,ジーンズ,6000,6,36000
2020-09-01,a023,アウター,ダウン,18000,1,18000
2020-09-01,a052,ボトムス,ロングパンツ,7000,5,35000
2020-09-05,a013,ボトムス,ジーンズ,6000,7,42000
2020-09-06,a013,アウター,ダウン,18000,4,72000
2020-09-10,a023,アウター,ジャケット,10000,1,10000
2020-09-11,a013,トップス,シャツ,4000,7,28000
2020-09-11,a052,トップス,シャツ,4000,2,8000
2020-09-11,a051,ボトムス,ロングパンツ,7000,4,28000
2020-09-12,a013,ボトムス,ロングパンツ,7000,6,42000
2020-09-12,a036,ボトムス,ハーフパンツ,3000,2,6000
2020-09-14,a036,トップス,ニット,8000,7,56000
2020-09-14,a047,ボトムス,ロングパンツ,7000,4,28000
2020-09-16,a003,ボトムス,ロングパンツ,7000,6,42000
2020-09-18,a047,トップス,シャツ,4000,7,28000
2020-09-21,a013,ボトムス,ジーンズ,6000,8,48000
2020-09-22,a003,アウター,ジャケット,10000,9,90000
2020-09-25,a023,アウター,ダウン,18000,8,144000
2020-09-30,a023,トップス,シャツ,4000,8,32000
2020-10-02,a003,アウター,ジャケット,10000,10,100000
2020-10-03,a003,トップス,シャツ,4000,2,8000
2020-10-12,a036,ボトムス,ロングパンツ,7000,7,49000
2020-10-14,a036,トップス,シャツ,4000,6,24000
2020-10-15,a047,ボトムス,ジーンズ,6000,4,24000
2020-10-15,a051,ボトムス,ハーフパンツ,3000,3,9000
2020-10-17,a023,トップス,ニット,8000,8,64000
2020-10-18,a003,アウター,ダウン,18000,3,54000
2020-10-19,a013,アウター,ジャケット,10000,8,80000
2020-10-20,a023,ボトムス,ハーフパンツ,3000,3,9000
2020-10-23,a013,トップス,ニット,8000,5,40000
2020-10-23,a047,トップス,ニット,8000,10,80000
2020-10-29,a036,トップス,シャツ,4000,8,32000
2020-10-30,a047,ボトムス,ハーフパンツ,3000,3,9000
2020-10-31,a013,ボトムス,ロングパンツ,7000,1,7000
2020-11-03,a003,アウター,ジャケット,10000,7,70000
2020-11-03,a003,トップス,ニット,8000,7,56000
2020-11-03,a023,ボトムス,ハーフパンツ,3000,8,24000
2020-11-03,a047,ボトムス,ロングパンツ,7000,9,63000
2020-11-03,a051,トップス,シャツ,4000,6,24000
2020-11-03,a051,ボトムス,ハーフパンツ,3000,1,3000
2020-11-04,a003,アウター,ジャケット,10000,2,20000
2020-11-04,a013,トップス,ニット,8000,10,80000
2020-11-04,a023,トップス,ニット,8000,1,8000
2020-11-04,a051,ボトムス,ハーフパンツ,3000,1,3000
2020-11-08,a036,ボトムス,ジーンズ,6000,5,30000
2020-11-09,a036,ボトムス,ジーンズ,6000,8,48000
2020-11-10,a023,トップス,シャツ,4000,2,8000
2020-11-10,a036,アウター,ジャケット,10000,1,10000
2020-11-10,a052,トップス,シャツ,4000,2,8000
2020-11-11,a036,アウター,ジャケット,10000,7,70000
2020-11-11,a051,アウター,ジャケット,10000,1,10000
2020-11-12,a003,アウター,ジャケット,10000,5,50000
2020-11-12,a013,ボトムス,ロングパンツ,7000,5,35000
2020-11-12,a013,ボトムス,ジーンズ,6000,8,48000
2020-11-16,a047,トップス,ニット,8000,8,64000
2020-11-19,a003,アウター,ダウン,18000,10,180000
2020-11-19,a047,ボトムス,ロングパンツ,7000,7,49000
2020-11-23,a023,アウター,ダウン,18000,7,126000
2020-11-24,a047,ボトムス,ジーンズ,6000,9,54000
2020-11-29,a003,ボトムス,ハーフパンツ,3000,5,15000
2020-11-29,a051,アウター,ダウン,18000,3,54000
2020-11-30,a013,ボトムス,ジーンズ,6000,7,42000
2020-12-01,a003,ボトムス,ジーンズ,6000,2,12000
2020-12-07,a003,ボトムス,ジーンズ,6000,6,36000
2020-12-12,a003,ボトムス,ロングパンツ,7000,7,49000
2020-12-12,a003,ボトムス,ハーフパンツ,3000,3,9000
2020-12-12,a023,ボトムス,ジーンズ,6000,4,24000
2020-12-13,a003,アウター,ジャケット,10000,9,90000
2020-12-13,a003,トップス,ニット,8000,8,64000
2020-12-17,a023,アウター,ダウン,18000,7,126000
2020-12-21,a003,ボトムス,ハーフパンツ,3000,5,15000
2020-12-22,a013,アウター,ジャケット,10000,6,60000
2020-12-22,a036,トップス,シャツ,4000,6,24000
2020-12-25,a023,ボトムス,ジーンズ,6000,8,48000
2020-12-26,a003,ボトムス,ハーフパンツ,3000,5,15000
2020-12-26,a013,ボトムス,ハーフパンツ,3000,1,3000
2020-12-26,a052,アウター,ダウン,18000,4,72000
2020-12-28,a036,アウター,ダウン,18000,3,54000
2020-12-30,a003,アウター,ダウン,18000,4,72000
2020-12-30,a047,ボトムス,ハーフパンツ,3000,3,9000
2020-12-31,a036,ボトムス,ロングパンツ,7000,10,70000
